index_string
'e300_c_Anfangssituation_Ankunft_und_Erkundigung_der_Not'
'e300_e_Vorfeld_des_Kampfes_bis_zum_Sieg'
'e300_g_Nach_dem_Sieg_bis_zur_Trennung_des_HD_und_des_OB'
'e300_i_Rückkehr_der_Königstochter_und_die_Suche_nach_dem_Held_Retter'
'e300_k_Misshandlung_des_falschen_Helden_bis_zur_Hochzeitstag'
'e300_l_Wiederbelebung_des_Helden'
'e300_m_Rückkehr_des_Helden_von_der_Erkundung_über_die_Hochzeit_bis_zum_Wiedergewinn_der_Aufmerksamkeit'
'e300_o_Auftritt_des_Helden_vor_dem_König_bis_zur_Erkennung_der_Heldentat'
'e300_q_Von_der_Begegnung_mit_dem_Vogel_bis_zum_Ende_des_Fluges'
'e301_c_Verlust_des_OB'
'e301_e_Vom_Beginn_der_Wanderung_bis_zum_Finden_der_Nachtrast'
'e301_g_Von_der_Begegnung_mit_dem_AN_oder_VB_bis_zum_Betreten_der_Welt_des_AN'
'e301_i_Vom_Betreten_des_Wohnsitzes_des_AN_bis_zur_Befreiehung_des_OB'
'e301_k_Empfang_des_OB_und_Verrat_der_FH'
'e301_m_Rückkehr_des_Helden_in_die_Außenwelt'
'e301_o_Von_der_Rückkehr_an_die_Oberflaeche_bis_zur_Lösung_der_durch_den_Raub_ausgelösten_Krise'
'e516_c_Grund_der_Freundschaft'
'e516_e_Fernliebe_bis_zum_Aufbruch_zur_Suche_der_Traumfrau'
'e516_g_Ertste_Begegnung_mit_dem_Helfer'
'e516_i_Erste_Belauschung'
'e516_k_Gewinnung_der_Braut_durch_den_Raub'
'e516_l_Gewinnung_der_Braut_durch_die_List'
'e516_m_Gewinnung_der_Braut_durch_die_Freierprobe'
'e516_n_Verlust_Wiedergewinnung_und_der_Frau'
'e516_o_Rückkehr_und_Belauschung_den_Schicksalskünder'
'e516_q_Abwehr_der_vorletzten_Gefahren'
'e516_s_Abwehr_der_letzten_Gefahr'
'e516_u_Erklärung_und_Konsequenzen'
